pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
Jew-Iraqi,Lebanese-Christian,1.122,6,9,0.266
Afar,BedouinB,1.108,5,12,0.217
Libyan,Spanish-Central,1.583,5,21,0.211
Mansi,Norwegian,4.648,5,12,0.522
Brahmin,BedouinA,0.993,3,23,0.211
French-Southwest,Basque-France,43.168,6,14,1.412
Scot,mixed-AJ,3.66,4,204,0.115
Netherlands-AJ,Russian-Northwest,4.232,4,9,0.644
Cossack,Jew-Ethiopian,0.277,4,7,0.156
French-Southeast,Brahui,1.371,5,21,0.181
Jew-Moroccan,Turk-Central,0.902,6,10,0.194
Austria-AJ,Assyrian-Caucasus,1.741,3,7,0.732
Austria-AJ,Komi,1.746,3,18,0.272
Kryashen,Russian-Central,11.111,3,58,0.426
Jew-Iraqi,Yemenite-Desert,1.076,6,27,0.149
Scot,Romanian,4.862,4,10,0.574
English-Southwest,Tabasaran,2.432,5,12,0.302
Cossack,Turk-Northwest,2.938,4,18,0.405
Brahmin,Syrian,0.729,3,8,0.268
Kryashen,Turk-South,1.512,3,10,0.374
Shaigi,Finn,1.572,3,11,0.313
Kyrgyz-South,Tunisian,0.36,6,8,0.141
Spanish-Northwest,Ukranian-East,3.339,5,8,0.515
Basque-Spain,Veps,4.644,6,12,0.359
Algerian,Belarus-AJ,1.392,4,14,0.278
Eritrean,Italian-North,0.916,3,12,0.267
French-Southeast,Russian-Southwest,3.238,5,8,0.444
English-Southeast,Nogai,2.194,5,25,0.218
Jew-Cochin,Italian-Northwest,1.967,5,11,0.326
Jew-Iberian,Lithuanian,2.393,3,13,0.407
Netherlands-AJ,Yemenite-Highlands,1.263,4,29,0.172
English-Southeast,Jew-Libyan,2.059,5,8,0.376
Libyan,Turkmen,0.697,5,8,0.222
Spanish-Northwest,Hungarian,2.801,5,21,0.277
Kyrgyz-South,Iranian-Central,0.88,6,22,0.139
Sicilian-East,Jew-Uzbek,1.608,6,12,0.219
Jew-Iraqi,Bulgarian,1.653,6,9,0.288
Libyan,Hungarian,1.34,5,21,0.182
Afar,Jew-Uzbek,0.383,5,12,0.129
Mansi,Abkhasian,1.135,5,12,0.238
French-Southwest,Croat,2.771,6,14,0.324
Algerian,Netherlands-AJ,0.266,4,4,0.182
Brahmin,Nogai,1.523,3,25,0.221
Cossack,Latvia-AJ,3.272,4,7,0.603
Netherlands-AJ,Latvian,4.529,4,9,0.619
French-Southeast,Uzbek-East,1.386,5,21,0.225
Jew-Moroccan,Moroccan,3.709,6,10,0.678
Austria-AJ,Cypriot,1.574,3,7,0.419
Austria-AJ,Azeri,1.395,3,18,0.252
Kryashen,mixed-AJ,2.964,3,204,0.108
Jew-Iraqi,Lithuania-AJ,2.069,6,27,0.209
English-Southwest,Veps,6.007,5,12,0.619
Scot,Saudi,2.298,4,10,0.463
Cossack,Egyptian,0.975,4,18,0.204
Brahmin,Jew-Libyan,1.555,3,8,0.407
Kryashen,Karakalpak,2.555,3,10,0.547
Kyrgyz-South,Jew-Turkish,0.813,6,8,0.191
Spanish-Northwest,Turkmen,1.239,5,8,0.253
Shaigi,Jew-Italian,1.884,3,11,0.401
Algerian,Sindhi,0.47,4,14,0.165
French-Southeast,Ukranian-East,4.345,5,8,0.703
Eritrean,Circassian,0.525,3,12,0.185
Basque-Spain,Norwegian,6.176,6,12,0.504
Jew-Iberian,Balkar,1.191,3,13,0.313
Netherlands-AJ,Spanish-Balearic,3.464,4,29,0.293
English-Southeast,Kyrgyz-North,1.34,5,25,0.169
Jew-Cochin,Ukranian-Central,1.216,5,12,0.249
Libyan,Turk-West,0.738,5,8,0.204
English-Southeast,Spanish-South,4.33,5,8,0.597
Spanish-Northwest,Mozabite,2.589,5,21,0.262
Sicilian-East,Greek-North,2.287,6,13,0.311
Kyrgyz-South,Romania-AJ,1.12,6,23,0.146
Afar,Greek-North,0.427,5,13,0.142
Jew-Iraqi,Albanian,1.54,6,9,0.282
French-Southwest,Sicilian-West,2.578,6,14,0.293
Libyan,Mozabite,7.404,5,21,0.519
Mansi,Icelandic,3.633,5,12,0.431
Algerian,Afar,0.291,4,5,0.2
Cossack,Jew-Georgian,1.11,4,7,0.318
Netherlands-AJ,Gagauz,2.332,4,9,0.437
Austria-AJ,Jew-Tunisian,4.397,3,7,0.949
Brahmin,Kyrgyz-North,1.204,3,25,0.188
French-Southeast,Tatar-Siberia,1.635,5,21,0.208
Austria-AJ,Armenian,1.573,3,18,0.229
Jew-Moroccan,Romanian,1.813,6,10,0.286
Jew-Iraqi,Roman-Iberia,1.228,6,28,0.154
Jew-Iberian,Brahmin,0.269,3,3,0.269
Scot,Portuguese,4.899,4,10,0.604
English-Southwest,Norwegian,7.272,5,12,0.656
Cossack,Komi,9.486,4,18,0.751
Brahmin,Spanish-South,1.629,3,8,0.398
Spanish-Northwest,Turk-West,1.115,5,8,0.3
Kryashen,Turk-Central,1.502,3,10,0.374
Kyrgyz-South,Syrian,0.556,6,8,0.185
Shaigi,Italian-Northwest,1.689,3,11,0.469
Algerian,Italian-South,1.183,4,15,0.227
French-Southeast,Turkmen,1.69,5,8,0.374
Eritrean,Iranian-North,0.717,3,12,0.296
Basque-Spain,Abkhasian,1.416,6,12,0.243
Jew-Iberian,Kabardian,1.221,3,13,0.295
English-Southeast,Yemenite-Northwest,1.031,5,26,0.135
Netherlands-AJ,Druze,1.963,4,30,0.235
Libyan,Maltese,1.446,5,8,0.314
English-Southeast,Darginian,2.956,5,8,0.478
Jew-Cochin,Tabasaran,1.194,5,12,0.227
Spanish-Northwest,Iranian-Central,1.439,5,22,0.203
Afar,German,0.181,5,13,0.089
Sicilian-East,German,2.28,6,13,0.297
Kyrgyz-South,BedouinA,0.345,6,23,0.082
French-Southwest,Udmurt,2.275,6,14,0.267
Jew-Iraqi,Turk-Northeast,1.779,6,9,0.259
Libyan,Iranian-Central,1.076,5,22,0.175
Cossack,Assyrian-Caucasus,1.362,4,7,0.33
Mansi,Italian-North,2.58,5,12,0.344
Algerian,English-Southeast,0.333,4,5,0.231
Netherlands-AJ,Bengali,0.831,4,9,0.226
French-Southeast,Spanish-Central,3.978,5,21,0.338
Austria-AJ,general-AJ,99.212,3,7,6.025
Brahmin,Yemenite-Northwest,0.854,3,26,0.167
Austria-AJ,Pole,3.464,3,19,0.452
Jew-Iraqi,Yemenite-Highlands,1.46,6,29,0.156
Jew-Moroccan,Saudi,2.124,6,10,0.324
Jew-Iberian,Shaigi,0.73,3,3,0.521
Cossack,Azeri,1.673,4,18,0.273
Scot,Spanish-North,6.493,4,10,0.7
English-Southwest,Abkhasian,2.174,5,12,0.324
Brahmin,Darginian,1.55,3,8,0.438
Spanish-Northwest,Maltese,2.369,5,8,0.402
Algerian,Tuscan,0.938,4,15,0.233
Kryashen,Moroccan,0.816,3,10,0.255
Kyrgyz-South,Jew-Libyan,0.313,6,8,0.123
Shaigi,Ukranian-Central,0.747,3,12,0.233
French-Southeast,Turk-West,1.784,5,8,0.315
English-Southeast,Jew-Bulgarian,2.716,5,26,0.271
Jew-Iberian,Belarusian,1.903,3,14,0.356
Eritrean,BedouinB,1.28,3,12,0.339
Netherlands-AJ,Adygei,2.378,4,31,0.261
Basque-Spain,Icelandic,5.65,6,12,0.505
Libyan,Tunisian,10.325,5,8,1.175
English-Southeast,Jew-Kurdish,2.339,5,8,0.473
Afar,Somali,3.99,5,13,0.476
Jew-Cochin,Veps,1.834,5,12,0.275
Sicilian-East,Somali,0.204,6,13,0.083
Spanish-Northwest,Romania-AJ,2.064,5,23,0.232
French-Southwest,Belarus-AJ,2.309,6,14,0.302
Cossack,Cypriot,2.219,4,7,0.502
Kyrgyz-South,Nogai,5.038,6,25,0.336
Jew-Iraqi,Russian-Northwest,0.925,6,9,0.236
Libyan,Romania-AJ,1.856,5,23,0.225
Algerian,Mansi,0.954,4,5,0.359
Mansi,Circassian,2.491,5,12,0.308
Netherlands-AJ,French-North,3.656,4,9,0.527
Austria-AJ,Jew-Yemenite,1.401,3,7,0.367
Brahmin,Jew-Bulgarian,1.444,3,26,0.232
French-Southeast,Hungarian,4.67,5,21,0.429
Jew-Iraqi,Spanish-Balearic,1.089,6,29,0.124
Austria-AJ,Sardinian,1.159,3,20,0.211
Jew-Iberian,Cossack,1.548,3,4,0.666
Jew-Moroccan,Portuguese,2.028,6,10,0.366
Cossack,Armenian,1.586,4,18,0.303
Brahmin,Jew-Kurdish,1.617,3,8,0.404
Spanish-Northwest,Tunisian,2.242,5,8,0.471
Scot,French-Northeast,5.427,4,10,0.572
Algerian,Slovenian,0.787,4,15,0.164
Kryashen,Romanian,4.641,3,10,0.537
English-Southwest,Icelandic,8.374,5,12,0.561
Kyrgyz-South,Spanish-South,1.28,6,8,0.296
Shaigi,Tabasaran,0.649,3,12,0.216
French-Southeast,Maltese,2.752,5,8,0.402
Netherlands-AJ,Tajik,1.906,4,32,0.214
English-Southeast,Hungary-AJ,3.168,5,26,0.242
Jew-Iberian,Basque-France,3.514,3,14,0.501
Eritrean,Jew-Uzbek,0.766,3,12,0.26
Libyan,Jew-Turkish,1.965,5,8,0.412
English-Southeast,Jew-Iranian,2.008,5,9,0.472
Basque-Spain,Italian-North,3.841,6,12,0.392
Afar,Czechia-AJ,0.527,5,13,0.147
Sicilian-East,Czechia-AJ,2.554,6,13,0.346
Jew-Cochin,Norwegian,1.55,5,12,0.278
Cossack,Jew-Tunisian,0.712,4,7,0.303
French-Southwest,Sindhi,1.215,6,14,0.202
Spanish-Northwest,BedouinA,0.866,5,23,0.136
Jew-Iraqi,Latvian,1.455,6,9,0.257
Algerian,Spanish-Northwest,1.835,4,5,0.632
Mansi,Iranian-North,1.147,5,12,0.237
Libyan,BedouinA,4.759,5,23,0.494
Netherlands-AJ,Ingush,2.328,4,9,0.374
Austria-AJ,Uzbek-West,1.561,3,8,0.481
Brahmin,Hungary-AJ,1.061,3,26,0.225
Kyrgyz-South,Kyrgyz-North,13.538,6,25,0.714
French-Southeast,Mozabite,1.778,5,21,0.214
Jew-Iraqi,Druze,1.163,6,30,0.126
Jew-Iberian,Scot,2.181,3,4,0.608
Austria-AJ,Baloch,1.036,3,20,0.19
Jew-Moroccan,Spanish-North,3.264,6,10,0.403
Cossack,Pole,13.228,4,19,0.666
Spanish-Northwest,Jew-Turkish,1.76,5,8,0.329
Brahmin,Jew-Iranian,1.066,3,9,0.35
Scot,French-Northwest,8.161,4,10,0.738
Algerian,Slovakian,0.83,4,15,0.184
Kryashen,Saudi,1.348,3,10,0.312
English-Southwest,Italian-North,4.577,5,12,0.474
Kyrgyz-South,Darginian,0.691,6,8,0.172
Shaigi,Veps,1.29,3,12,0.27
French-Southeast,Tunisian,0.944,5,8,0.28
Netherlands-AJ,Palestinian,1.944,4,33,0.213
English-Southeast,Georgian,1.585,5,26,0.177
Eritrean,Greek-North,0.642,3,13,0.207
Jew-Iberian,Croat,2.28,3,14,0.432
Libyan,Syrian,3.748,5,8,0.486
English-Southeast,Lak,3.302,5,9,0.443
Afar,Lezgin,0.23,5,13,0.101
Basque-Spain,Circassian,1.603,6,12,0.25
Cossack,general-AJ,4.462,4,7,0.847
Sicilian-East,Lezgin,1.66,6,13,0.213
French-Southwest,Italian-South,2.349,6,15,0.269
Jew-Cochin,Abkhasian,1.11,5,12,0.214
Jew-Iraqi,Gagauz,1.372,6,9,0.249
Algerian,English-Southwest,1.504,4,5,0.468
Spanish-Northwest,Nogai,1.387,5,25,0.185
Netherlands-AJ,Chechen,2.453,4,9,0.472
Mansi,BedouinB,0.566,5,12,0.15
Libyan,Nogai,0.739,5,25,0.133
Austria-AJ,Hemshin,1.382,3,8,0.332
Brahmin,Georgian,1.068,3,26,0.186
Kyrgyz-South,Yemenite-Northwest,0.342,6,26,0.076
French-Southeast,Iranian-Central,1.304,5,22,0.204
Jew-Iraqi,Adygei,1.18,6,31,0.145
Jew-Iberian,Algerian,2.456,3,4,1.082
Jew-Moroccan,French-Northeast,1.265,6,10,0.253
Austria-AJ,Swede,3.555,3,20,0.422
Cossack,Sardinian,2.225,4,20,0.253
Spanish-Northwest,Syrian,0.93,5,8,0.213
Brahmin,Lak,2.069,3,9,0.501
Algerian,Corsican,1.097,4,16,0.218
Scot,Czech,6.596,4,10,0.731
Kryashen,Portuguese,3.442,3,10,0.551
English-Southwest,Circassian,1.758,5,12,0.244
Shaigi,Norwegian,1.137,3,12,0.282
Kyrgyz-South,Jew-Kurdish,0.572,6,8,0.182
French-Southeast,Jew-Turkish,1.765,5,8,0.289
Netherlands-AJ,Mordvin,3.045,4,34,0.273
English-Southeast,Germany-AJ,3.314,5,26,0.269
Eritrean,German,0.402,3,13,0.158
Jew-Iberian,Sicilian-West,1.791,3,14,0.413
Libyan,Jew-Libyan,1.996,5,8,0.372
English-Southeast,Punjabi,1.067,5,9,0.228
Cossack,Jew-Yemenite,1.561,4,7,0.386
Afar,Kazakh-East,0.138,5,13,0.08
Basque-Spain,Iranian-North,1.549,6,12,0.273
Sicilian-East,Kazakh-East,0.786,6,13,0.176
French-Southwest,Tuscan,2.711,6,15,0.284
Jew-Cochin,Icelandic,1.958,5,12,0.335
Jew-Iraqi,Bengali,0.731,6,9,0.196
Algerian,French-Southeast,1.22,4,5,0.535
Spanish-Northwest,Kyrgyz-North,0.839,5,25,0.162
Netherlands-AJ,Kurd,1.75,4,10,0.319
Mansi,Jew-Uzbek,0.896,5,12,0.198
Libyan,Kyrgyz-North,0.352,5,25,0.082
Austria-AJ,Iranian-South,0.938,3,8,0.302
Brahmin,Germany-AJ,1.711,3,26,0.259
French-Southeast,Romania-AJ,2.869,5,23,0.332
Jew-Iberian,Netherlands-AJ,4.426,3,4,1.241
Kyrgyz-South,Jew-Bulgarian,1.07,6,26,0.149
Jew-Iraqi,Tajik,0.935,6,32,0.124
Spanish-Northwest,Jew-Libyan,2.14,5,8,0.504
Jew-Moroccan,French-Northwest,2.176,6,10,0.343
Cossack,Baloch,1.062,4,20,0.22
Austria-AJ,Brahui,0.958,3,21,0.183
Brahmin,Punjabi,1.998,3,9,0.38
Jew-Moroccan,Hazara,0.791,6,11,0.171
Scot,Assyrian-MiddleEast,2.25,4,11,0.362
Kryashen,Spanish-North,3.493,3,10,0.615
English-Southwest,Iranian-North,1.366,5,12,0.26
Kyrgyz-South,Jew-Iranian,0.651,6,9,0.173
French-Southeast,Syrian,1.288,5,8,0.313
Shaigi,Abkhasian,0.477,3,12,0.217
English-Southeast,Tatar-Volga,4.989,5,26,0.344
Eritrean,Somali,2.799,3,13,0.502
Libyan,Spanish-South,1.219,5,8,0.299
Cossack,Uzbek-West,2.586,4,8,0.415
Jew-Iberian,Udmurt,1.656,3,14,0.303
English-Southeast,Lebanese-Christian,1.665,5,9,0.342
Afar,Kazakh-West,0.072,5,13,0.051
Netherlands-AJ,Ukraine-AJ,76.114,4,38,2.411
Sicilian-East,Kazakh-West,0.638,6,13,0.168
French-Southwest,Slovenian,3.531,6,15,0.293
Basque-Spain,BedouinB,0.737,6,12,0.157
Jew-Iraqi,French-North,1.165,6,9,0.22
Algerian,Jew-Cochin,1.594,4,5,0.341
Jew-Cochin,Italian-North,1.636,5,12,0.267
Spanish-Northwest,Yemenite-Northwest,0.832,5,26,0.148
Jew-French,Hemshin,1.465,7,8,0.292
Mansi,Greek-North,2.889,5,13,0.375
Libyan,Yemenite-Northwest,4.111,5,26,0.338
Austria-AJ,Ukranian-West,4.782,3,8,1.096
Brahmin,Tatar-Volga,1.492,3,26,0.229
Jew-Iberian,Afar,0.465,3,5,0.317
French-Southeast,BedouinA,1.276,5,23,0.192
Kyrgyz-South,Hungary-AJ,0.996,6,26,0.13
Spanish-Northwest,Spanish-South,3.558,5,8,0.457
Jew-Iraqi,Palestinian,1.187,6,33,0.125
Jew-French,Swede,2.837,7,20,0.251
Jew-Moroccan,Czech,2.3,6,10,0.37
Brahmin,Lebanese-Christian,0.785,3,9,0.35
Scot,Lebanese-Muslim,1.215,4,11,0.287
Austria-AJ,Uzbek-East,1.035,3,21,0.224
Kryashen,French-Northeast,3.798,3,10,0.617
Jew-Moroccan,Kumyk,1.785,6,11,0.283
French-Southeast,Jew-Libyan,1.847,5,8,0.404
Kyrgyz-South,Lak,1.08,6,9,0.262
Jew-Ethiopian,Italian-North,0.25,7,12,0.085
English-Southeast,Yemenite-Desert,1.057,5,27,0.142
Eritrean,Czechia-AJ,0.828,3,13,0.277
Latvia-AJ,Albanian,2.753,7,9,0.4
Shaigi,Icelandic,1.716,3,12,0.504
Libyan,Darginian,0.529,5,8,0.196
Jew-Iberian,Belarus-AJ,5.149,3,14,0.625
Afar,Lithuanian,0.172,5,13,0.086
English-Southeast,Bulgarian,4.043,5,9,0.503
French-Southwest,Slovakian,3.704,6,15,0.337
Sicilian-East,Lithuanian,2.974,6,13,0.341
Spanish-Northwest,Jew-Bulgarian,2.462,5,26,0.284
Jew-Iraqi,Ingush,1.351,6,9,0.307
Algerian,Libyan,5.328,4,5,0.612
Jew-French,Iranian-South,1.333,7,8,0.276
Basque-Spain,Jew-Uzbek,1.318,6,12,0.219
Jew-Cochin,Circassian,0.781,5,12,0.196
Netherlands-AJ,Russia-AJ,63.538,4,39,2.922
Mansi,German,5.491,5,13,0.678
Libyan,Jew-Bulgarian,1.653,5,26,0.179
Austria-AJ,Russian-Southwest,2.326,3,8,0.597
Brahmin,Yemenite-Desert,0.779,3,27,0.174
Jew-Iberian,English-Southeast,1.903,3,5,0.657
Kyrgyz-South,Georgian,0.609,6,26,0.102
Spanish-Northwest,Darginian,1.873,5,8,0.282
French-Southeast,Nogai,1.475,5,25,0.16
Jew-Iraqi,Mordvin,1.382,6,34,0.145
Jew-French,Brahui,0.913,7,21,0.144
Brahmin,Bulgarian,1.58,3,9,0.38
Latvia-AJ,Roman-Iberia,1.574,7,28,0.141
Jew-Georgian,Italian-South,1.261,7,15,0.18
Austria-AJ,Tatar-Siberia,1.114,3,21,0.218
Kryashen,French-Northwest,3.893,3,10,0.581
Jew-Moroccan,Assyrian-MiddleEast,1.79,6,11,0.327
Jew-Moroccan,Orcadian,2.577,6,11,0.359
Jew-Ethiopian,Circassian,0.524,7,12,0.144
Kyrgyz-South,Punjabi,0.53,6,9,0.146
English-Southeast,Lithuania-AJ,3.446,5,27,0.288
Latvia-AJ,Turk-Northeast,1.546,7,9,0.228
Cypriot,Turkmen,0.482,7,8,0.153
Eritrean,Lezgin,0.532,3,13,0.173
Assyrian-Caucasus,Hazara,0.745,7,11,0.165
Jew-Iberian,Sindhi,0.802,3,14,0.246
Cypriot,Hungarian,2.169,7,21,0.209
Afar,Balkar,0.243,5,13,0.098
French-Southwest,Corsican,3.935,6,16,0.344
Sicilian-East,Balkar,1.372,6,13,0.23
Jew-Tunisian,Kazakh-East,0.577,7,13,0.127
general-AJ,Romanian,3.494,7,10,0.371
Jew-Iraqi,Chechen,1.489,6,9,0.305
Jew-French,Ukranian-West,6.374,7,8,1.161
Jew-Yemenite,Uzbek-West,1.159,7,8,0.228
Basque-Spain,Greek-North,2.961,6,13,0.312
Jew-Cochin,Iranian-North,1.053,5,12,0.211
Jew-Yemenite,Baloch,0.99,7,20,0.169
Uzbek-West,Somali,0.168,8,13,0.071
Brahmin,Lithuania-AJ,1.715,3,27,0.224
Austria-AJ,Ukranian-East,4.235,3,8,0.711
Jew-Iberian,Mansi,1.526,3,5,0.496
Hemshin,Romanian,2.084,8,10,0.319
Kyrgyz-South,Germany-AJ,0.899,6,26,0.129
Jew-French,Uzbek-East,0.911,7,21,0.133
Jew-Georgian,Tuscan,1.409,7,15,0.209
Jew-Iraqi,Ukraine-AJ,2.228,6,38,0.187
Latvia-AJ,Yemenite-Highlands,1.572,7,29,0.162
Iranian-South,Ukranian-West,0.903,8,8,0.209
French-Southeast,Kyrgyz-North,0.831,5,25,0.161
Austria-AJ,Spanish-Central,2.968,3,21,0.325
Kryashen,Czech,8.703,3,10,0.863
Kyrgyz-South,Lebanese-Christian,0.629,6,9,0.175
Iranian-South,Uzbek-East,1.208,8,21,0.149
Cypriot,Turk-West,1.498,7,8,0.292
Jew-Moroccan,Lebanese-Muslim,0.976,6,11,0.184
Jew-Ethiopian,Iranian-North,0.221,7,12,0.075
Latvia-AJ,Russian-Northwest,3.112,7,9,0.371
Jew-Moroccan,Uyghur-North,0.617,6,11,0.172
Ukranian-West,Balkar,2.665,8,13,0.278
Assyrian-Caucasus,Kumyk,1.144,7,11,0.2
Afar,Kabardian,0.307,5,13,0.105
Cypriot,Mozabite,1.197,7,21,0.145
Russian-Southwest,Hazara,1.772,8,11,0.277
Ukranian-East,Jew-Kurdish,1.771,8,8,0.264
Jew-Tunisian,Kazakh-West,0.671,7,13,0.125
Sicilian-East,Kabardian,1.508,6,13,0.24
general-AJ,Saudi,2.14,7,10,0.264
Jew-French,Russian-Southwest,2.433,7,8,0.395
Jew-Yemenite,Hemshin,1.047,7,8,0.225
Jew-Iraqi,Kurd,0.964,6,10,0.228
Jew-Yemenite,Swede,0.718,7,20,0.118
Ukranian-East,Hungary-AJ,4.578,8,26,0.289
Basque-Spain,German,4.461,6,13,0.393
Uzbek-West,Czechia-AJ,1.332,8,13,0.167
Turkmen,Estonian,2.176,8,16,0.222
Turk-West,Italian-North,2.016,8,12,0.247
Maltese,Romanian,2.462,8,10,0.291
Kyrgyz-South,Tatar-Volga,2.673,6,26,0.241
Hemshin,Saudi,1.349,8,10,0.199
Jew-French,Tatar-Siberia,1.273,7,21,0.162
Jew-Georgian,Slovenian,1.525,7,15,0.209
Iranian-South,Russian-Southwest,0.936,8,8,0.243
Tunisian,Jew-Turkish,1.61,8,8,0.291
Latvia-AJ,Spanish-Balearic,2.451,7,29,0.225
Jew-Iraqi,Russia-AJ,2.718,6,39,0.239
Cypriot,Maltese,1.467,7,8,0.286
Tunisian,BedouinA,2.027,8,23,0.187
Iranian-South,Tatar-Siberia,0.98,8,21,0.13
Jew-Turkish,Greek-South,1.315,8,16,0.161
Latvia-AJ,Latvian,2.989,7,9,0.433
Kyrgyz-South,Bulgarian,0.972,6,9,0.226
Kryashen,Assyrian-MiddleEast,1.431,3,11,0.339
Jew-Ethiopian,BedouinB,0.92,7,12,0.215
Ukranian-West,Kabardian,2.972,8,13,0.303
Jew-Moroccan,Spanish-Valencia,2.439,6,11,0.303
Assyrian-Caucasus,Orcadian,1.435,7,11,0.259
Syrian,BedouinB,6.039,8,12,0.509
Russian-Southwest,Kumyk,2.572,8,11,0.294
Cypriot,Iranian-Central,1.313,7,22,0.161
Ukranian-East,Jew-Iranian,1.687,8,9,0.237
Jew-Tunisian,Lithuanian,1.729,7,13,0.242
general-AJ,Portuguese,3.453,7,10,0.381
Jew-Libyan,Assyrian-MiddleEast,1.081,8,11,0.229
Jew-Yemenite,Iranian-South,0.895,7,8,0.184
Jew-French,Ukranian-East,2.945,7,8,0.403
Spanish-South,Albanian,2.7,8,9,0.35
Ukranian-East,Georgian,1.628,8,26,0.137
Uzbek-West,Lezgin,1.429,8,13,0.187
Jew-Yemenite,Brahui,0.909,7,21,0.128
Spanish-South,Roman-Iberia,2.861,8,28,0.222
Turkmen,Russian-Arctic,2.491,8,17,0.24
Turk-West,Circassian,1.591,8,12,0.191
Maltese,Saudi,1.516,8,10,0.241
Kyrgyz-South,Yemenite-Desert,0.392,6,27,0.084
Hemshin,Portuguese,1.116,8,10,0.197
Jew-Georgian,Slovakian,1.577,7,15,0.182
Jew-French,Spanish-Central,2.51,7,21,0.225
Iranian-South,Ukranian-East,2.024,8,8,0.298
Latvia-AJ,Druze,1.36,7,30,0.123
Tunisian,Syrian,2.057,8,8,0.279
Darginian,Baloch,1.526,8,20,0.186
Latvia-AJ,Gagauz,2.29,7,9,0.33
Iranian-South,Spanish-Central,1.373,8,21,0.145
Cypriot,Tunisian,0.784,7,8,0.187
Jew-Turkish,Estonian,2.138,8,16,0.219
Tunisian,Nogai,0.641,8,25,0.091
Jew-Kurdish,Italian-South,1.804,8,15,0.198
Jew-Ethiopian,Jew-Uzbek,0.274,7,12,0.089
Kryashen,Lebanese-Muslim,0.885,3,11,0.282
Ukranian-West,Belarusian,14.242,8,14,0.706
Assyrian-Caucasus,Uyghur-North,0.569,7,11,0.166
Jew-Moroccan,Moldavian,2.528,6,11,0.347
Syrian,Jew-Uzbek,1.088,8,12,0.164
Ukranian-East,Lak,1.893,8,9,0.267
Cypriot,Romania-AJ,2.438,7,23,0.199
Jew-Tunisian,Balkar,1.134,7,13,0.218
Jew-Libyan,Lebanese-Muslim,1.312,8,11,0.211
Russian-Southwest,Orcadian,5.822,8,11,0.445
Spanish-South,Turk-Northeast,1.266,8,9,0.2
general-AJ,Spanish-North,3.413,7,10,0.344
Jew-Yemenite,Ukranian-West,1.075,7,8,0.202
Jew-French,Turkmen,1.176,7,8,0.2
Uzbek-West,Kazakh-East,3.677,8,13,0.377
Ukranian-East,Germany-AJ,3.535,8,26,0.239
Spanish-South,Yemenite-Highlands,0.806,8,29,0.104
Jew-Yemenite,Uzbek-East,0.435,7,21,0.097
Turkmen,Karelian,1.79,8,17,0.198
Turk-West,Iranian-North,0.847,8,12,0.163
Kyrgyz-South,Lithuania-AJ,1.227,6,27,0.136
Maltese,Portuguese,2.316,8,10,0.29
Hemshin,Spanish-North,1.435,8,10,0.217
Jew-Georgian,Corsican,1.462,7,16,0.2
Iranian-South,Turkmen,2.003,8,8,0.298
Latvia-AJ,Adygei,1.592,7,31,0.15
Jew-French,Hungarian,3.651,7,21,0.357
Darginian,Swede,2.456,8,20,0.214
Tunisian,Jew-Libyan,2.766,8,8,0.345
Latvia-AJ,Bengali,0.742,7,9,0.207
Cypriot,Jew-Turkish,1.759,7,8,0.295
Iranian-South,Hungarian,1.507,8,21,0.145
Jew-Kurdish,Tuscan,1.74,8,15,0.183
Jew-Turkish,Russian-Arctic,2.023,8,17,0.224
Jew-Ethiopian,Greek-North,0.417,7,13,0.106
Tunisian,Kyrgyz-North,0.27,8,25,0.062
Jew-Iranian,BedouinB,1.379,9,12,0.184
Ukranian-West,Basque-France,3.387,8,14,0.323
Assyrian-Caucasus,Spanish-Valencia,1.501,7,11,0.26
Syrian,Greek-North,1.338,8,13,0.189
Jew-Moroccan,Jew-Azeri,1.476,6,11,0.266
Ukranian-East,Punjabi,0.869,8,9,0.179
Jew-Tunisian,Kabardian,0.931,7,13,0.149
Jew-French,Turk-West,1.958,7,8,0.307
Jew-Yemenite,Russian-Southwest,0.928,7,8,0.221
Cypriot,BedouinA,1.026,7,23,0.147
Spanish-South,Russian-Northwest,3.667,8,9,0.389
Jew-Libyan,Hazara,0.886,8,11,0.212
Uzbek-West,Kazakh-West,3.943,8,13,0.341
Russian-Southwest,Uyghur-North,1.609,8,11,0.225
general-AJ,French-Northeast,2.671,7,10,0.339
Jew-Yemenite,Tatar-Siberia,0.494,7,21,0.092
Ukranian-East,Tatar-Volga,9.202,8,26,0.363
Spanish-South,Spanish-Balearic,4.609,8,29,0.235
Turkmen,Gujarati,0.942,8,17,0.159
Turk-West,BedouinB,0.805,8,12,0.156
Maltese,Spanish-North,2.669,8,10,0.294
Hemshin,French-Northeast,1.125,8,10,0.221
Iranian-South,Turk-West,1.271,8,8,0.249
Lak,Uyghur-North,1.068,9,11,0.175
Jew-Georgian,Greek-South,1.388,7,16,0.194
Tunisian,Spanish-South,2.008,8,8,0.3
Latvia-AJ,Tajik,1.05,7,32,0.109
Darginian,Brahui,0.999,8,21,0.141
Cypriot,Syrian,0.98,7,8,0.242
Latvia-AJ,French-North,1.759,7,9,0.286
Jew-French,Mozabite,1.596,7,21,0.175
Jew-Kurdish,Slovenian,1.51,8,15,0.207
Iranian-South,Mozabite,0.742,8,21,0.113
Jew-Ethiopian,German,0.275,7,13,0.099
Jew-Turkish,Karelian,1.504,8,17,0.181
