pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
Algerian,Karelian,0.862,4,17,0.187
Basque-Spain,Kazakh-East,1.372,6,13,0.256
Jew-Iberian,Slovakian,2.79,3,15,0.429
Afar,Sicilian-West,0.423,5,14,0.143
Cossack,Tatar-Siberia,3.4,4,21,0.384
French-Southeast,Georgian,1.167,5,26,0.161
Kyrgyz-South,Druze,0.715,6,30,0.108
English-Southwest,German,5.272,5,13,0.459
Brahmin,Latvian,1.754,3,9,0.317
Libyan,Punjabi,0.0,5,9,0.0
Sicilian-East,Sicilian-West,2.662,6,14,0.36
Jew-Iberian,Jew-Cochin,4.679,3,5,2.01
Scot,Uyghur-North,1.138,4,11,0.254
Eritrean,Brahmin,0.951,3,3,0.484
Austria-AJ,Tunisian,2.025,3,8,0.47
Jew-Cochin,German,1.339,5,13,0.226
French-Southwest,Karelian,4.358,6,17,0.317
Kyrgyz-South,Latvian,2.14,6,9,0.345
Algerian,Jew-Iraqi,0.817,4,6,0.317
Kryashen,Uyghur-North,1.798,3,11,0.423
Jew-Iraqi,Turk-Central,1.391,6,10,0.254
Shaigi,BedouinB,2.844,3,12,0.568
Jew-Iraqi,Russian-Central,1.357,6,58,0.109
Austria-AJ,Romania-AJ,95.517,3,23,3.115
Netherlands-AJ,Russian-Central,3.858,4,58,0.228
Spanish-Northwest,Yemenite-Desert,0.608,5,27,0.109
French-Southeast,Lak,1.592,5,9,0.385
Mansi,Kazakh-West,4.054,5,13,0.476
Spanish-Northwest,Lebanese-Christian,0.96,5,9,0.253
Cossack,Ukranian-East,13.951,4,8,1.264
English-Southeast,Gagauz,4.084,5,9,0.573
Eritrean,Kabardian,0.348,3,13,0.173
Netherlands-AJ,Moroccan,2.208,4,10,0.398
Jew-Iberian,Corsican,2.113,3,16,0.356
English-Southwest,Somali,0.14,5,13,0.08
Algerian,Gujarati,0.524,4,17,0.134
Brahmin,Adygei,1.505,3,31,0.208
Libyan,Yemenite-Desert,3.268,5,27,0.291
Cossack,Spanish-Central,3.036,4,21,0.266
Basque-Spain,Kazakh-West,1.157,6,13,0.203
English-Southeast,Adygei,2.881,5,31,0.246
Kyrgyz-South,Adygei,1.203,6,31,0.139
Brahmin,Gagauz,0.722,3,9,0.325
Afar,Udmurt,0.244,5,14,0.097
French-Southeast,Germany-AJ,3.161,5,26,0.3
Libyan,Lebanese-Christian,1.121,5,9,0.259
Scot,Spanish-Valencia,4.977,4,11,0.497
Jew-Cochin,Somali,0.246,5,13,0.099
Jew-Iberian,Libyan,1.424,3,5,0.384
Austria-AJ,Jew-Turkish,16.541,3,8,1.674
French-Southwest,Gujarati,0.901,6,17,0.164
Eritrean,Shaigi,0.847,3,3,0.623
Sicilian-East,Udmurt,1.507,6,14,0.242
Algerian,French-Southwest,0.425,4,6,0.243
Kyrgyz-South,Gagauz,1.461,6,9,0.299
Kryashen,Spanish-Valencia,2.628,3,11,0.568
Jew-Iraqi,Moroccan,1.032,6,10,0.212
Shaigi,Jew-Uzbek,1.117,3,12,0.307
Austria-AJ,BedouinA,1.178,3,23,0.251
Jew-Iraqi,mixed-AJ,2.287,6,204,0.082
Spanish-Northwest,Lithuania-AJ,2.36,5,27,0.229
French-Southeast,Punjabi,1.012,5,9,0.243
Cossack,Turkmen,1.831,4,8,0.387
Spanish-Northwest,Bulgarian,2.565,5,9,0.397
Mansi,Lithuanian,6.446,5,13,0.702
Netherlands-AJ,Romanian,3.06,4,10,0.481
English-Southwest,Czechia-AJ,3.079,5,13,0.396
Eritrean,Belarusian,0.582,3,14,0.2
Algerian,Pashtun,0.432,4,17,0.154
Jew-Iberian,Greek-South,1.959,3,16,0.389
English-Southeast,Bengali,1.553,5,9,0.326
Brahmin,Tajik,1.48,3,32,0.216
Cossack,Hungarian,9.207,4,21,0.578
Basque-Spain,Lithuanian,4.879,6,13,0.485
Brahmin,Bengali,2.507,3,9,0.46
French-Southeast,Tatar-Volga,3.284,5,26,0.314
English-Southeast,Tajik,2.487,5,32,0.209
Libyan,Lithuania-AJ,1.931,5,27,0.197
Afar,Belarus-AJ,0.719,5,14,0.171
